소비일자,소비업종,성별,연령대,소비건수
20190101,가전/가구,남성,20대,5529
20190101,가전/가구,남성,30대,17536
20190101,가전/가구,남성,40대,22838
20190101,가전/가구,남성,50대,15801
20190101,가전/가구,남성,60대,6772
20190101,가전/가구,여성,20대,5937
20190101,가전/가구,여성,30대,12895
20190101,가전/가구,여성,40대,16896
20190101,가전/가구,여성,50대,14025
20190101,가전/가구,여성,60대,5909
20190101,가정생활/서비스,남성,20대,269
20190101,가정생활/서비스,남성,30대,3561
20190101,가정생활/서비스,남성,40대,4199
20190101,가정생활/서비스,남성,50대,1264
20190101,가정생활/서비스,남성,60대,651
20190101,가정생활/서비스,여성,20대,1261
20190101,가정생활/서비스,여성,30대,21190
20190101,가정생활/서비스,여성,40대,7776
20190101,가정생활/서비스,여성,50대,1155
20190101,가정생활/서비스,여성,60대,370
20190101,교육/학원,남성,20대,7233
20190101,교육/학원,남성,30대,30706
20190101,교육/학원,남성,40대,47231
20190101,교육/학원,남성,50대,16250
20190101,교육/학원,남성,60대,3070
20190101,교육/학원,여성,20대,12633
20190101,교육/학원,여성,30대,29299
20190101,교육/학원,여성,40대,41927
20190101,교육/학원,여성,50대,12426
20190101,교육/학원,여성,60대,2773
20190101,미용,남성,20대,16153
20190101,미용,남성,30대,28003
20190101,미용,남성,40대,27227
20190101,미용,남성,50대,15006
20190101,미용,남성,60대,3076
20190101,미용,여성,20대,32270
20190101,미용,여성,30대,27804
20190101,미용,여성,40대,32032
20190101,미용,여성,50대,18701
20190101,미용,여성,60대,4615
20190101,백화점/상품권/아울렛,남성,20대,22539
20190101,백화점/상품권/아울렛,남성,30대,98496
20190101,백화점/상품권/아울렛,남성,40대,109019
20190101,백화점/상품권/아울렛,남성,50대,45875
20190101,백화점/상품권/아울렛,남성,60대,14797
20190101,백화점/상품권/아울렛,여성,20대,37886
20190101,백화점/상품권/아울렛,여성,30대,92775
20190101,백화점/상품권/아울렛,여성,40대,99932
20190101,백화점/상품권/아울렛,여성,50대,53598
20190101,백화점/상품권/아울렛,여성,60대,17201
20190101,스포츠/문화/레저,남성,20대,114409
20190101,스포츠/문화/레저,남성,30대,144565
20190101,스포츠/문화/레저,남성,40대,184042
20190101,스포츠/문화/레저,남성,50대,102945
20190101,스포츠/문화/레저,남성,60대,31201
20190101,스포츠/문화/레저,여성,20대,56758
20190101,스포츠/문화/레저,여성,30대,84661
20190101,스포츠/문화/레저,여성,40대,124826
20190101,스포츠/문화/레저,여성,50대,77035
20190101,스포츠/문화/레저,여성,60대,21827
20190101,여행/교통,남성,20대,40536
20190101,여행/교통,남성,30대,92466
20190101,여행/교통,남성,40대,102638
20190101,여행/교통,남성,50대,65705
20190101,여행/교통,남성,60대,22066
20190101,여행/교통,여성,20대,41446
20190101,여행/교통,여성,30대,61802
20190101,여행/교통,여성,40대,66375
20190101,여행/교통,여성,50대,46221
20190101,여행/교통,여성,60대,12586
20190101,요식/유흥,남성,20대,456607
20190101,요식/유흥,남성,30대,954239
20190101,요식/유흥,남성,40대,1062272
20190101,요식/유흥,남성,50대,674871
20190101,요식/유흥,남성,60대,235467
20190101,요식/유흥,여성,20대,463582
20190101,요식/유흥,여성,30대,611807
20190101,요식/유흥,여성,40대,749754
20190101,요식/유흥,여성,50대,491454
20190101,요식/유흥,여성,60대,154391
20190101,의료,남성,20대,11074
20190101,의료,남성,30대,58527
20190101,의료,남성,40대,60958
20190101,의료,남성,50대,31768
20190101,의료,남성,60대,13839
20190101,의료,여성,20대,17606
20190101,의료,여성,30대,47120
20190101,의료,여성,40대,41729
20190101,의료,여성,50대,27272
20190101,의료,여성,60대,10440
20190101,자동차,남성,20대,8535
20190101,자동차,남성,30대,25860
20190101,자동차,남성,40대,26391
20190101,자동차,남성,50대,15974
